,ID_INTERVISTATO,OVS.7_10_E_SMS
106,6285_9_04d5da24d9c2a42908a52a296de82a3b,Per i tempi di risoluzione e la professionalità
107,6285_9_04ea4c415ea4f45a439ce2029a1a0d26,Seri e bravi
108,6285_9_04f62d3da917af35f546381ecc346908,"Dal 27.12.2017 alla risoluzione avvenuta il 05.01.2018. Nel frattempo,avendo la fibra,sono stato completamente isolato,in quanto era assente interessamento e telefono"
110,6285_9_05040c1ed10827271134a26d0c69c1d1,Le persone con le quali ho avuto contatti sono state gentili
111,6285_9_0508e527d31dc5f1cdc838029afad653,Soddisfacente e risolutiva
113,6285_9_0510fbec9e89dca67de08e287c50bb2c,Problema risolto
114,6285_9_0512c00c264f02810b9b0f3210db92f5,Alta professionalità
115,6285_9_0518367a11b44088f22abea27b90993c,Vengo da esperienze negative di altri gestori anche se il vostri servizio si paga di più tutto sommato siamo ai limiti ma va bene cosi grazie
117,6285_9_053dcae1038c4a941599339704f14d44,Per la gentilezza dell'operatore e la risoluzione del problema in breve tempo
120,6285_9_055179e05e9ae1b0473703e690b05bf6,Competenza disponibilità operatore
121,6285_9_05546d485d55be55504a5a0475bd1d6b,Nessun problema riscontrato
122,6285_9_0565e40094d74f726d373f309a49d461,È stato risolto alla 4 telefonata grazie ad un Bravo e preciso Tecnico
124,6285_9_05917448ae90347659a54b877a7f65bd,Per la cortesia e professionalità
126,6285_9_0598e49c948e8082d3f8ce56b7610783,Perche' soddosfatto
127,6285_9_05a3d5758fa2c43b919c48cd89f5b457,Dopo 4 interventi la 5 e stata risolutiva
128,6285_9_05a6b9923eb324ecc5225002e21aa768,Per lentezza esecuzione intervento
129,6285_9_05bf45df2b6336a47cc996fb2e48f88e,Succede spesso e intervento lento.
131,6285_9_05c4d866ee499c59278dc601fb5fe973,"Efficienza, rapidità e competenza"
132,6285_9_05c9105aa44959511cf68a581489fbda,Chiarimenti e informazioni contrastanti tra operatori
135,6285_9_05fba9155540597c8eef89ef61b95bd7,Disponibilità e competenza dell'operatore.
136,6285_9_060fe2d34557c04bd607445cf8104eab,"Non siamo soddisfatti al 100% della fibra nel senso che  spesso manca la connessione, quindi non per questo specifico intervento."
137,6285_9_061245bb1c4fe090c3fd7cb7ed676d5b,Non è stata propriamente immediata la soluzione del problema che peraltro si ripropone ad intervalli più o meno regolari
140,6285_9_062b37898e4075a1ca4c1d8639f7150e,"Dopo tre telefonate ho risolto la prima è caduta la linea la seconda non aveva voglia di vedere il problema , la terza con gentilezza la risolto"
142,6285_9_064adb802cd3309fbf38861bf6a96577,Perché il problema è stato individuato prontamente
143,6285_9_0652fdf8017b564fa6798d9259a8ad6d,"Il primo operatore maschio non ha risolto niente, il secondo operatore femmina chiamato il giorno dopo era preparata ed ha risolto in 5 minuti il problema. Senza il primo operatore avrei dato 10"
144,6285_9_065c7c80a44bc011bb54b940ce1b2939,SONO RIMASTO MOLTO SODDISFATTO
147,6285_9_067f7a84dc06feda124d772faab6bf00,L'intervento è stato immediato e risolutivo nei tempi dichiarati.
150,6285_9_068c81c05948f6a29c568727a16aec23,Bravi
151,6285_9_068db499eb6f641adb8122f11d96e811,Perché la linea funziona ma quello che mi fa vedere é MERDA inutile sbagliato incoerente ingiusto malvagio
152,6285_9_0694b40fd294d5cef46a5194cedf8b95,"Sono soddisfatto dell’assistenza fornita dall’operatrice, ma nonostante ciò il problema del segnale Wi-Fi persiste. Trovo assurdo il supporto tecnico a pagamento dato che la linea è nuova"
153,6285_9_06a59688ce2874d878867756b75ce24a,"Il problema è stato risolto,con la richiesta di due interventi"
154,6285_9_06a6903cab5921f92fdc7a3eb16f765e,Mi sono trovato bene con la vostra assistenza
155,6285_9_06ab7bd807663eceaa0ee66f1dbece70,Soddisfatto
156,6285_9_06ac9b61ee5f366643a278c732335be9,Xx
157,6285_9_06b982759f9163a67d91eb5b82fe798f,Per la tempestivita' dell'intervento e per la gentilezza dell'operatrice.
159,6285_9_06c43507a8e782ff818b916e392e0676,Il problema è stato risolto il giorno successivo alla segnalazione
163,6285_9_0706d7c21c0e868e80afe8dd8c230509,Perché hanno risolto subito il problema
164,6285_9_0714ae4b7e9168572a6406e5b887c970,Ho riscontrato professionalità da parte degli operatori e disponibilità
166,6285_9_07297d11d830900f704a25bd3ec61811,Sono soddisfatta
168,6285_9_074785bda9a6ad7679372103081319a6,Efficace soluzione
170,6285_9_075051c30e16cd04f2300656915bd99e,Per la tempistica
171,6285_9_07563e30bb7542e9da7d2eaa1254fdc8,Tutto bene
172,6285_9_075f1015b44013a46e2fac558dbb54f6,Ok
174,6285_9_0769f997aaea01a47bd98ee4a03e55d8,Perche ritengo quello piu appropiato
175,6285_9_076bc6a435854ec547bccc2878ce3589,L'azienda che ha dovuto fisicamente cambiare il cavo ci ha messo 10 giorni dal sopralluogo per effettuare il lavoro.
177,6285_9_07731b4770c2a661aa12e15d77922c68,La signorina é stata tempestiva nella risoluzione del problema e molto gentile.
178,6285_9_0776967b3d632a3156fe6689d1846740,Perchè sono stati bravissimi e mi hanno aiutato subito e no come altri che ti fanno passare mesi prima che aggiustano il problema
183,6285_9_07a7ae60fe98bc99bec40aed4c1671ae,Risoluzione del problema entro 24h
184,6285_9_07b4bf22cbf1ea20a3dcc5b32fd4b879,Funzionalità e capacità risolutiva. Esperienza tecnica.
186,6285_9_07d05b82e30fb494ba502c0dabaad4fa,Soddisfatta
187,6285_9_07d6651730cb238e61cfb49c0abe2661,Perché c’è stata cortesia e professionalità sia dall’operatore che dal tecnico
188,6285_9_07d84b56131f15e471d7924e1e48b874,Sono contento di tim
189,6285_9_07df7819063bf2ef7f1898256da2b376,Tempestività nella risoluzione del problema.
190,6285_9_07e03c92db2ff19bb87155b5dcc5e991,"Perché mi hanno risolto il problema, questa volta, con molta professionalità"
191,6285_9_07eb2b28a6c6bc1b488699f56c2a9612,Per gentilezza e professionalita
192,6285_9_07fa0908d9a171cf2c5f3197a428fe4e,Per cortesia e disponibilità dell’operatore a cercare di risolvere il problema
193,6285_9_081a4847a5f2ece856ddbc369a89ebd2,Per competenza e gentilezza
194,6285_9_082d605c848bc0c6ca5b549515d7cdf3,Alla prima segnalazione telefonica il guasto é stato chiuso senza risoluzione. La seconda segnalazione scritta é stata presa prontamente in carico ed è stato mandato un tecnico che ha risolto.
196,6285_9_083860de0f28ba0c5ff0bdf3f7404a2a,Puntuali gentili ed efficaci
198,6285_9_084020e1efbb8a3717c7a0318d814eb5,Celerità e concretezza
199,6285_9_08479da33fdf77d698e55859c83c7375,Sono soddisfatto per la risoluzione del problema.
200,6285_9_08661c4d2cd0d8ed618ee62e88ee883c,L'operatore informato ma non capisco perché devo pagare il tecnico x intervenire dato ché sono vostro cliente e il problema è l modem tutto sbagliato
202,6285_9_0876145a847ed08ee4325bac3d8689dd,Rapida risoluzione
203,6285_9_0890e85bf693693c9b9d68155ca2429e,Risoluzione mediamente veloce = voto medio
212,6285_9_08c5f6c3daf02bcd1f4b37816ce1d25d,.
214,6285_9_08e39f0d6aae536e30553435d14c7b89,Perché ho dovuto solleciteremo più volte e poi è dovuto intervenire un tecnico
215,6285_9_08e6341439e2f9ba3e05bc3da32541fe,Efficacia gentilezza professionalità
217,6285_9_090b442be5d4116996729d4fbb406a0b,Bene
220,6285_9_091ac23f94a2eee60c84f74a2aeb4f27,Comunque Tim è un'azienda affidabile.
221,6285_9_092227c61a241ce427da05ea353f2fa7,"Problema risolto nel giro di poche ore dalla segnalazione, e gentilezza dell' operatrice"
222,6285_9_09345abcc340677116498e7767cef061,Molto tempestivo e risolutivo ottimo servizio
223,6285_9_0934b8f06598fed595d6c7b575133845,Tecnici estremamente professionali. Ho dovuto aspettare una decina di giorni dalla segnalazione affinché si sistemasse correttamente il guasto.
224,6285_9_09351c32c245e160a5e0451fab686840,Lungo tempo di soluzione
225,6285_9_0949715310209b29b5280d3aad34c08d,Gentilezza e sollecitudine
228,6285_9_097b5a92b636861ce14c64f50f85bb52,Disponibilità operatore
229,6285_9_097d9af6e09bb38fb2734944bd10b9b2,È stato risolto il problema nei tempi stabiliti
231,6285_9_099847a5165f34dac49ad99acee7cacd,Operatrice dall’estero preparata cordiale gentilissima e molto disponibile.
232,6285_9_099d32df66995e6fd942c23b4dd9730d,Ottimo
233,6285_9_099e132f5c34539203d16775a1c1fd7b,Perché sono stati gentili
236,6285_9_09d85ab23284fb5beacf14148d5dea6e,Per rapidità e cortesia
237,6285_9_09d8f7bb601cb67f6c20b09484781d36,Ho trovato la competenza necessaria all'altezza delle aspettative
238,6285_9_09ee33cbadf25eebe05c23b430b8e3fd,"Rapidi, efficienti. Chari"
240,6285_9_09f4a886c61cb97e560582547a90e701,L'operatore ha fornito assistenza telefonica per il collegamento e configurazione del nuovo modem.
241,6285_9_09f6a055997a6373a9fe736745702fa7,velocità e gentilezza operatrice
245,6285_9_0a321b5d231a22684929feecb0f61cc9,L operatore è stato Disponibile e cortese.
246,6285_9_0a32ae4c3f9d45fef2d446a09450401b,Perché l'intervento dopo la segnalazione è stato da remoto e portato a termine con efficienza rapidità e cortesia
248,6285_9_0a46fe2cfdde710e4faa89e4e5493436,Operatrice disponibile e gentile
251,6285_9_0a5f41f3c9741d46e5bfc1534baae8f0,Perché non sempre sono di parola avvolte devo richiamare più volte per il guasto
252,6285_9_0a8307e3308928e2ea1a5d43e2e228b4,Cordialità disponibilità
254,6285_9_0a8aa002b7dd8d54236f1365530d310a,Richiesta eseguita velocemente perché era un guasto di zona altrimenti se era un guasto singolo i tempi di risoluzione  sono più lunghi e occorrono vari solleciti
256,6285_9_0a94b616ccde2844904d688e24942692,È stata molto brava preparata  e gentile l'operatrice nel risolvere il problema
257,6285_9_0a9aa619d1dc7f08d84082f589ed96df,Impeccabile
258,6285_9_0a9bb63c43864895fbe7a1748f394eed,Chiarezza e preparazione
259,6285_9_0ab48456bf9d696f6159bf203a965789,Per l'efficienza dell'operatrice
260,6285_9_0ab5340d3ddb4f69a2dd78b95bd1eed9,Per soddisfazione del servizio TIM
263,6285_9_0ae3833ea94cccbc7aba7beb83861d7a,Cortesia
264,6285_9_0ae48cf4ec92a65d5f87e3d6ad8f175b,Attualmente il problema non è ancora risolto in quanto ci sono dei frequenti cali di connessione e assenza di segnale anche se in maniera sporadica ma credo che se il problema fosse risolto al 100% qu
266,6285_9_0af804a893e3d20d502fc35b14c8fa5d,"Gentilezza,cortesia e competenza  dell' operatore. Grazie"
267,6285_9_0b02fb7a7fe3ab896c7269687584fabc,.
268,6285_9_0b0f3a5d46f98d9f2c800304f0fbf8da,Eccellente servizio. Problema risolto in pochissimi minuti nel corso della chiamata.
270,6285_9_0b2d3e7b0d603934c0d54348f65ddca3,Perché la risoluzione del problema è stata veloce e semplice la possibilità di comunicazione col 187
272,6285_9_0b358bb758cd600932f906cb1ff53a62,Perché l'operatore è stato chiaro ed esaustivo
273,6285_9_0b3bce96aec6044d0559a47f8025fc6e,Il tecnico è stato gentile e competente
274,6285_9_0b3c7314c8d49baa2a34fe32032b36ad,per il problema è po risorto
277,6285_9_0b5a1fa1d55f634e2e286130c2010a66,Non mi hanno spiegato bene il funzionamento Wi-Fi che si disconnette frequente e che DA SOLO con riavvio del modem si connette di nuovo.
278,6285_9_0b5ac4aae05990f549b95a3574ed6f65,Le persone con cui ho avuto modo di parlare sono state gentili e serie e nello stesso tempo mi hanno risolto il problema.
279,6285_9_0b624b3cffb1227843b55007288e9b64,Intervento rapido con soluzione del problema che purtroppo dopo due giorni si è ripetuto e tuttora persiste richiamerò il 187 per assistena grazie
284,6285_9_0ba6108c8e79abacfb954e166e69ea62,Soddisfatto
286,6285_9_0bb3022db204fa6a7ac61b7d89d0a254,"Sono riusciti a risolvere il guasto in poco tempo, avvertendomi appena avevano risolto"
287,6285_9_0bb5d6ce54560b9c472c9b35b9f4f838,Per la gentilezza nella voce.
289,6285_9_0bbb528d8945f5e977fa0c66152a2e7f,Tutti gli operatori con cui ho parlato sono stati gentili e preparati.
292,6285_9_0bcdf53f37cac83447919eee39a7278d,Persona gentile e competente.....
293,6285_9_0be30762e3e00b3492d3c0c7c1ea1881,Boh
294,6285_9_0bea443093e3e617bfc3e90f32a7c0c9,per bravura
295,6285_9_0c1857e15a26b1fcb39a76791cbee267,Il tecnico ha sostituito il modem difettoso e pulito alcuni cavi della cabina esterna che erano ossidati e cosi dopo un anno anche il problema del segnale debole è stato risolto.
296,6285_9_0c209f5b5cf15fe2170cf09c2f9afb77,Gentile e cortese
297,6285_9_0c27e63bca3c00583d4007174414a931,Avevo in guasto al modem che andava cambiato e inizialmente mi era stata aperta una segnalazione su un guasto alla linea che ha quindi solo ritardato la risoluzione finale del problema.
298,6285_9_0c2aecde6960e2e61a00cd0cb219c5ea,Perché ogni tanto ritorna di nuovo il problema
299,6285_9_0c2e9f8e7f2495a15ff2c82c43ba1af2,perché sono rimasto pienamente soddisfatto.
301,6285_9_0c3cb2f67dbb3bf7d5c4f0cddc42969b,Velocità di risposta ed effcienza del tecnico intervenuto.
302,6285_9_0c49fa670fd08a01459b3be7f20c0179,"Buona la gestione, ma non è stato in grado di risolvere il problema, una fibra a 52mega acquistata per 100 è ben lontana dalle aspettative"
303,6285_9_0c4a308699126de11cd86a4088293607,¿
304,6285_9_0c523e81e121d68345979306ca1ae7dc,Tutto ok e veloce
305,6285_9_0c6fb3a4c55df4bc351a9a2fd479386a,Velocita' e professionalità
307,6285_9_0c8790d4362ad805a4a605978e98eeef,10
309,6285_9_0c927ddaf5064f328b7e66d29535ee08,Non funziona com'è si deve
311,6285_9_0cc067d9dfe5580a256cf79fe5c7d813,Tutto bene
312,6285_9_0cca4cdfbe0370770a5524301c971472,L'intervento seppur risolutivo è stato un po' tardivo.
313,6285_9_0cdc2ffb908b123195163619c1e90e94,Servizio ben gestito e operatori molto gentili
315,6285_9_0ce0c2275ecb153c110a30d36f768f2c,"Aprire la segnalazione e semplice, gli sms sono utili, l'assistenza telefonica gentile ed efficiente. Un po' lunghi i tempi di risoluzione (cinque giorni)."
318,6285_9_0d02bbe336136c9228b7708bdf8ada2e,Il problema é stato risolto con professionalità
321,6285_9_0d35b61d392c36ffce30f5ec969f6235,Perché il sito fa schifo e non si riesce mai a segnalare nulla dal sito. telefonicamente invece funziona abbastanza bene
323,6285_9_0d5a33fef55b425cc35c2399240334a9,"Assistenza ottima,il problema è la lentezza della fibra solo 12MB,e non è stato risolto."
324,6285_9_0d5ae1c40b5e3013ca49b9260864b5ff,Ottimo
326,6285_9_0d67414be90df47160e94cc136ae6835,Perché il problema è stato risolto dopo una settimana e io non ho potuto lavorare.
327,6285_9_0d712dd4c0daa16b20c96b7dbb8c1ee2,Soddisfatto
329,6285_9_0d865a65480d473e840694796cc59a1d,Sono soddisfatto del risultato
330,6285_9_0d949d245475ac9742f08232fc768a24,Soddisfatto ma migliorabile nei tempi d'intervento seppur rapidi
331,6285_9_0da420f29f4b4a91c6136e48121e7b0d,"Attenzione dimostrata dal servizio assistenza, puntualità e professionalità del tecnico"
332,6285_9_0dac092fd860cb5277db519d559febfe,Prima di propormi il cambio del modem ho dovuto chiamare più volte aspettando l'intervento in remoto per 24 ore più volte
333,6285_9_0dbe27e025bb7922c668342dd0ed6409,Ho dovuto chiamare un paio di volte prima di riuscire a parlare con un operatore
334,6285_9_0dc0ef2a4c12c1d2212f07354256a927,"Tempestività, gentilezza e disponibilità"
335,6285_9_0dcc1dc84cb31c9218f7ad04ae63d545,Siamo alla terza volta che chiamo per lo stesso problema che si ripresenta!
336,6285_9_0dd0bacdbb4e3bfc060a957f937ea35a,Il problema l'ho risolto da me provando a spegnere e riaccendere il mio modem Fibra ed il giorno successivo mi ha contattata un vostro operatore che mi ha detto che era la cosa da fare.
337,6285_9_0ddb16594edf75a6787c2780b1c8461e,Perché è fastidioso pagare 3 giorni di fibra non usufruendo del servizio
338,6285_9_0ddc5bd78deb6f36470d97dc1c3bc8c0,Avrei dato 10 se non fosse per i troppi giorni di attesa dalla prima segnalazione.
339,6285_9_0ddcf2ae0c77410e6a16cac85fd9a350,"Buon servizio , efficienza e rapida soluzione"
341,6285_9_0e0822dd33ddf5813455725a0d1df154,Efficienza e cortesia. Un poco lento prendere la linea.
342,6285_9_0e14ecd964aa6e23f31aa035c622ee5c,Per l'ottimo servizio
344,6285_9_0e26c73eac42a397348e429db620626e,Ho parlato con persone molto disponibili
345,6285_9_0e2a2b99a5f118f875c4ddd363ecbefe,Perche sono soddisfatto
346,6285_9_0e2b7d40fbc4912929d022437b3bcbd2,Anche se è passati qualche giorno hanno sistemato il problema con professionalità.
348,6285_9_0e38820b4f1abf60031e5590da4201f7,Per la velocità e disponibilità offerte
349,6285_9_0e44e46997bcd9048d525548d7caa13e,Per gentilezza e professionalita
353,6285_9_0e6477d2b07eccf86192b81413cde482,Per tutti i motivi ha cui ho risposto alle domande precedenti dando il massimo del gradimento
355,6285_9_0e76e300fb4f7ad0ed8243b93d4ee70b,Per la capacita
356,6285_9_0e7f73b99cea3341d1e9d18efdc112fd,Per la vostra gentilezza e la vosta onestà....
357,6285_9_0e9a689279a41a2a1995dd4d3a267e1e,Ho trovato persone cortesi che mi hanno prospettato di richiedere l'intervento di un vostro tecnico Informatico.
358,6285_9_0ea72d26b94f68511ad73226d2f4b129,Disponibilità
359,6285_9_0ece9a76880e68d2cece73f908eb5d9e,Velocità di esecuzione
361,6285_9_0ed711ea7ba6ac6602de6b60a41df189,Soddisfacente
362,6285_9_0edca348c51d17fe3ec0e8f2b33082d2,Perché ho risolto fuori servizio assistenza
364,6285_9_0eff574d60e33018354d9ac609b5ed35,Per la tempestività la cortesia e la professionalità
365,6285_9_0f0d58628f4682b99b57230e4ede8a85,Purtroppo la velocità di navigazione è molto inferiore a quella prevista da contratto
367,6285_9_0f25b94fbc46f2e1b33311effca55635,Soddisfatto per l’assistenza!!
368,6285_9_0f323c4b816025ec825c656795277c8e,"Perché,l’operatore con cui ho parlato è stata molto educata ed efficiente , che di solito nn sono così!!!"
370,6285_9_0f4b87f9782db2a834d82353b1140949,Perche’ erano due volte che segnalavo lo stesso problema e non riuscivano a risolverlo
371,6285_9_0f53d6c818017ae81aa8b82d5af73b85,"Educazione, gentilezza, disponibilità e professionalità"
372,6285_9_0f59e6f88fb7256e031545bd55604b1e,Sono stati efficienti e risolutivi
374,6285_9_0f698be149f5abf083bad3f252d269a4,X velocita nella riparazione
377,6285_9_0fa69c41e6207f0223c562a4dd192fc6,Educazione e lealtà
380,6285_9_0fc4d181bb53383417625df57efbfc23,Perché mi hanno detto subito che non era un problema tecnico ma amministrativo
383,6285_9_0fe0272c37042d0ce9aa37ad785cb3d1,Perché il problema che si è presentato è stato risolto tempestivamente .
384,6285_9_0fe899f2baa4531bcebb64a723f89aa7,Ottimo servizio
385,6285_9_0febd619de8538c7ade163c83d6ee774,Perché questa volta il tecnico ha controllato la linea da casa mia fino alla prima colonnina e poi alla centralina sulla strada in modo da verificare veramente dove fosse il problema e poi risolverlo.
386,6285_9_0ff2ab4924f6eb5b275a66000aef723e,Per la professionalità
389,6285_9_0ffe2778bc21081f393572b1997e4b89,Per quanto accaduto mi ritengo soddisfatta
390,6285_9_0fff9b7b67eed724966a12850f619f2d,il problema e stai risolto in un tempo accettabile.
391,6285_9_100409a1d7c6bfd7ca2b768d1d0ec21c,"Il problema è stato risolto velocemente ma, talvolta, probabilmente per dei sovraccarichi di rete, la velocità della connessione si abbassa. Segnalo poi che il problema è dovuto ad un vostro errore"
392,6285_9_1009fb1cbce47c39609745af1c104f31,Risoluzione lenta
393,6285_9_100ca0833ce53de36bf6c7b77d8aee76,Servizio sufficientemente tempestivo
396,6285_9_106079bb3bb675049923fcf79978f639,Solamente perché il guasto si è risolto in due giorni e internet mi serviva per lavorare
397,6285_9_1077321865e20d0cda7197365b7105c2,Ottimo
398,6285_9_108309a6dc8f7420133d496c183ac788,"Soddisfatto dell'attenzione e competenza dell'operatore con cui ho parlato, chiaro ed esaustivo."
401,6285_9_1099d8e3112a052c01b0368908d50267,Soddisfazione
402,6285_9_109ed79c2ed5284ca544552517f29704,Perché  operatrice gentile fattasi carico e risolto il problema
403,6285_9_10aadb4205ca2fdc8efa761bd3eda9f6,.
