,ID_INTERVISTATO,SOLL_MOT
7792,6333_9_03d6e8289302458d874d7d81245d6d4c,Guasto  intermittente da gennaio. Prevista sostituzione linea da tecnico Telecom nell'arco di un mese (sostituzione mai avvenuta). Sentito nessuno. Sollecitato più volte.Un tecnico di una fitta autorizzata tim viene a guardare e poi se ne va senza  fare nulla.Rifatto segnalazione a Tim.Tecnici risollecitati. Avuto ultimo intervento da azienda autorizzata  Tim il 5 marzo dopo ulteriore sollecito e fax all' ufficio reclami. Il giorno dopo di nuovo disservizio. Ricontattato responsabile azienda esterna ma quel giorno non lavoravano per maltempo. Ora ha ripreso a funzionare da solo. Il disservizio si ha SEMPRE in caso di pioggia. La linea non è stata sostituita ma sempre rattoppata.
7793,6333_9_03dd8efa9a92a1026771ed5540718302,Nessuna risposta cazzo
7794,6333_9_03dfb0085e4071fe653658f5553e7dad,Il problema si ripresentava
7796,6333_9_0402b5572cee32fff3909b9e9fb731cb,"Gli operatori non avevano risposte e non potevano comunicare con i tecnici operativi,per alcune linee non erano nemmeno indicate le date di risoluzione."
7797,6333_9_042073c4f40d409452052856ffd0f2b4,"Eravamo completamente senza telefono e internet, l'ufficio era isolato e non é possibile aspettare 24 ore"
7799,6333_9_042feeeb22bec217bf0610aa4397c3f1,Perché dopo 3/4 settimane ancora non abbiamo adsl / fibra per poter lavorare
7801,6333_9_0438cd6ee41547749be9473e75226a29,Mancanza di una stima seppure indicativa dei tempi di riparazione del guasto
7803,6333_9_0451cde2e112debd2032188b1bc77040,La linea non veniva riparata e nessun operatore mi dava una data certa. Sono rimasto 4 giorni senza poter lavorare con danno economico molto rilevante.
7804,6333_9_0453cf2ac9e80e92755012601fa1565c,"Pur comunicando che avevamo già  proceduto alle verifiche interne dei ns. apparecchi telefonici e del centralino-anche attraverso un tecnico specializzato di una ditta intervenuto a ns. spese che ha a sua volta chiamato l'assistenza tecnica Tim indicando che la borchia telefonica era guasta. le segnalazioni venivano dall'assistenza chiuse sistematicamente da remoto senza che il problema fosse risolto, costringendoci a richiamare più  volte per riaprire la segnalazione."
7808,6333_9_048cd11619a79e58cd0670e4dbcbe809,Il COMMERCIALE non ha provveduto a svolgere il suo lavoro
7810,6333_9_04a084dbed028c65998408b03a5042c3,"perché dopo il primo intervento del tecnico, non risolutivo, non siamo stati contattati per ben 4 giorni"
7812,6333_9_04b196d9d1fb2de54b535b1bffa45ee8,Perché  il tecnico  non mi chiamva per risolvere il guasto
7824,6333_9_05b5ad569386b82aea964fdc431d0cdf,Non ero riuscito a rispondere alla prima chiamata e non venivo più contattato
7825,6333_9_05b684c4c1e3dbf326c4fedcaf6e42e5,Non avevo alcuna notizia e volevo mettere il trasferimento di chiamata
7827,6333_9_05c0729658cb4fd452e3eaf34f2838b8,Perché non funzionava ne il telefono e ne la linea telefonica
7831,6333_9_05e8f80b7a7e749ed528056ce66f16b5,Dopo tre giorni non solo non avevano risolto il problema ma avevano chiuso il guasto come risolto In realtà il giorno stesso lo hanno riaperto  il guasto con lo stesso identico problema. Il tecnico della Tim mi ha detto che per risolvere il problema Devo per forza installare la fibra. Vedete voi come siamo messi al giorno d'oggi non ho parole Anzi ne avrei tante....
7832,6333_9_05ea0bc6fa1336bb624ac6ef4fd24816,"Linea voce assente, adsl mai attivata da ottobre 2017 sino a marzo 2018"
7835,6333_9_0650c1c1a1f7fb2982ef525f1c515562,Perché dopo quasi una settimana il gusto non era stato risolto
7838,6333_9_06849767121c2ddf6f7511b56f9e2ad1,"Il primo tecnico che è intervenuto aveva spontaneamente staccato i cavi telefonici dalla centrale, lasciandomi senza linea per due giorni. Inaccettabile."
7839,6333_9_069355eb2ecff7bba637f2ba7a5a9881,Non era stata rivolta
7841,6333_9_06a5a39ef7122622406d06fbe0ac41da,Adsl di una azienda non si può permettere di non funzionare e che l'intervento avvenga dopo 48 ore e risolto in parte perché internet ha perso velocità di collegamento che  ha comunicazione è stata addebitata ai nostri sistemi .Se prima dell' inconveniente andava tutto ok la colpa è nostra o di chi ha fatto l'intervento????
7844,6333_9_06d398e35c364805045344dc0d3023b5,Non c'è linea in ufficio da una settimana e dopo aver fatto ennesimo sollecito mi è stato detto che sembrerebbe un cavo rotto ma non sanno dove.
7845,6333_9_06ea68d20ec6f8cfb09c7af23ba73181,Perché noi lavoriamo con Adsl e senza siamo quasi fermi.
7851,6333_9_070f83845f469309f3b541e7750cff42,Per la mia professione  di medico di famiglia  è necessaria  connessione  internet
7854,6333_9_073f5bd58ffa6407def44192f0b78618,Perché non veniva risolto il problema
7859,6333_9_079e16d24cc302051ae5429c7ebce57e,Difficile fare comprendere che io non sono responsabile se tim non ha i mezzi o la volontà di intervenire sulla vetusta linea esterna.
7861,6333_9_07c478154d0fb5b64d96e4338ad0b5d3,Lo stesso iniziale
7862,6333_9_07fbb5b145b231897dfe54e4ef8551e1,Xché nonostante il loro SMS che era a posto così non è stato
7870,6333_9_08b0c485fc3f42a1ab5bb874fac33ae7,Perché ho ricevuto un sms di risoluzione del problema invece non era risolto
7874,6333_9_08fb9402440532d797514651237df480,problema non risolto
7875,6333_9_090ba76adf5f360ff9bb485ead85f51d,Nessuno riparava il guasto e gli operatori non sapevano rispondere ai problemi che gli venivano posti e erano molto maleducati
7879,6333_9_093379d0e2073871d6df14298ad872ad,"In quanto il problema espresso ancora a tutt’oggi non è risolto, seguirà approccio legale in quanto trattasi di linea adsl per aziende e superate le 48 ore ore come da contratto, ci è consentito fare richiesta dei costi che andremo a sostenere"
7882,6333_9_095f4b56eae81e617d0b9f5243d4fe9e,Il guasto non veniva riparato.
7884,6333_9_0963a94f9286cf5fae2e3a634bd0bc36,Non funziona ancora niente
7887,6333_9_0984082fde76df186500958d7b06f509,"è stata fatta in data 03/03 la trasformazione della linea ########## e siamo rimasti isolati, non possiamo chiamare e ricevere chiamate."
7891,6333_9_09bd45249258819e3c2a84b5ddf55679,Perche senza linea non posso lavorare
7893,6333_9_09e01c7eeb6bf3912f853ae29bc70588,"Il problema non era stato risolto , abbiamo avuto mancanza di linea adsl per più di una settimana"
7901,6333_9_0a72aca7ac62951b001b673826e8bdc2,Non mi avevano ricontattato
7906,6333_9_0b13f20ad88cb41aba638fd1c8da1070,Perché nessuno capIva la natura del problema . È maleducazione che i loro operatori capito il problema buttano giù il telefono . Problema non dei tutto risolto ci cadono le Line se passiamo le telefonate in alte ditte. La prossima volta  verrete decunciati e chiederemo i danni
7908,6333_9_0b3a0d9cddcfb61bd3c8c5fdebef910f,Al telefono mi dissero che si risolveva in dieci minuti. Persone molto incompetenti
7911,6333_9_0b98a10a896acae76d5780f9ddd55703,Abbiamo problemi sulla velocità adls e il tecnico che interviene non risolve e dice di aprire un altro reclamo
7912,6333_9_0ba9cfad739c0e17c59b7fa008e36530,Per segnalare che il problema persiste non si attiva il trasferimento di chiamata e pago ugualmente il servizio
7914,6333_9_0bce86a636d98e64be6decb1c2218437,Per la mancata risoluzione del problema nonostante le frequenti chiamate segnalatorie
7924,6333_9_0c70f9aa1f86be01f9dbef7df74f05dc,Guasti continuativi ogni giorno le stesse domande e le stesse procedure
7927,6333_9_0cbe7bcd398e5b5e38fb54287fc7537b,Continui messaggi problema risolto senza che fosse risolto nulla.. racconti sempre identici a personale sempre diverso. Ripetute prove sempre identiche mai annotate.. ogni volta si partiva da capo.. contattato tecnico a nostre spese perché 191 dicevo problema non nostro quando era borchia rotta.. lasciata una farmacia quattro giorni senza linea telefonica .. non si comprende come si posss essere contattati da operatori sempre diversi ignari dei passaggi precedenti.. vergognoso
7930,6333_9_0cd4ab6849161b527221ffc391dc4d31,Aa
7932,6333_9_0cfbc9a9ecf815c7d7f4ccd287ae123d,Mancata risoluzione
7934,6333_9_0d01ef265e03c0045f9faba92e1184ab,Motivi tecnici
7938,6333_9_0d3060512faad644dd7609be3c96993b,Non riescono a riparare il problema che da circa 2 mesi si ripresenta dopo ogni intervento del tecnico
7942,6333_9_0d6b3510f51f233e3fcbaf05db12eda4,Per il ritardo non avendo linea avevo diverse macchine ferme
7943,6333_9_0d7f0df99d9d13b47dc2b1fb43250ecf,Per urgenza del ripristino essendo una Clinica Veterinaria
7945,6333_9_0d86af3f33830404e6c889b48ed0a35b,Perché dopo 10 giorni siamo ancora senza linea telefonica
7947,6333_9_0dc0d8bb626c2c60a9bdc9f7e1dd4b7a,Hanno sbagliato linea telefonica
7953,6333_9_0e3453aefd9b7f45b31ebf88acdb7cd3,Non mi avevano collegato adsl
7955,6333_9_0e8d86f3bf4b3097e22ba3e83a29bb4a,Ci sono i fili del palo che penzolano e nessuno viene a far la riparazione ed io ho continui rallentamenti e perdita di connessione internet IO NON POSSO LAVORARE COSÌ
7957,6333_9_0ea57245682c70dabac5a413e6d08414,Il primo sollecito è stato fatto quando abbiamo scoperto che il guasto era stato lavorato su una linea differente da quella segnalata. Il secondo sollecito poiché La linea non è ancora funzionante malgrado siano passati 3 giorni
7969,6333_9_0f7ec993146d210730575c206ef172d4,Perché il problema persiste
7972,6333_9_0f9e1b86c580478f91ed28fa749ce819,Perché il guasto non era stato risolto e ancora oggi persussiste
7975,6333_9_0fa4768929b0f83137aff859bb792089,Perché non navigo
7980,6333_9_0fd31d753493e124e61cce3fabd5cd2d,Il problema nn veniva risolto
7982,6333_9_0fe6d179d55577ee7e9df6eab6549ffb,Il problema non è ancora risolto
7985,6333_9_10002df0d0e36f484c7d8a405843f5bf,Per sicurezza
7987,6333_9_10104268ff00eb9cd525f8ddbf864444,Velocità di navigazione estremamente variabile anche al di sotto della soglia minima garantita. Mi è quasi impossibile visualizzare le cartografie GIS degli Enti Locali con i quali lavoro.
7988,6333_9_10251f4415f30fa77a05d623f99ea6ee,Finta risoluzione da remoto
7990,6333_9_103dfda92bcc3d0b856fb7099f8f7a96,Il guasto non veniva riparato
7991,6333_9_104bdedbea3a2a2c7cc3acd8e37c03f7,Nessun operatore prima dell ultimo ha capito la gravità della situazione
7992,6333_9_106039e37fccefaeb67c98229b9da40b,"Perché si diceva problema risolto, mentre non era vero"
7995,6333_9_108264c493480023a6e61dc85a040281,Per il passaggio a fibra motivo principale per cui ho cambiato gestore trionfo laTin più conveniente
7996,6333_9_108badc36682d2365528f073f0f6bb0a,Non ho avuto più notizie e il disservizio continua ad esserci
7999,6333_9_10b648e4f14e30fc3821edf751c6ccb6,Per capire se la chiamata era stata presa in carico e sullo stato di avanzamento
8003,6333_9_10fece411dced6998a8f0047272f12ca,Il problema non si è risolto. Mi è stata addebitata l’assistenza per un presunto motivo legato ai canali delle frequenze ma nulla è cambiato pertanto ritengo si tratti del mal funzionamento del modem e che debba essere sostituito
8005,6333_9_1105a3b57d7c9b69dcf8bea58655e099,"Perché il problema non veniva risolto,con pesanti ripercussioni sull'attività lavorativa..."
8008,6333_9_1123397c79c1c6d5586643ab07251c3f,Per avere l'assistenza di un tecnico
8013,6333_9_116e4d756212ba7d5c9f40ec3c17b556,Perché nessuno si presentava a cambiare la borchia
8017,6333_9_11c4e62016fa9ee6eb18e1f43e344978,Perché nessuno realmente portava avanti la pratica
8018,6333_9_11da37f2e8f3b229ab2be76cbef25d15,Perché nessuno mi diceva quando e come si sarebbe risolto il problema ... inoltre ora mi è stato detto che non ho diritto a nessuno indennizzo ... siete dei disonesti
8019,6333_9_11ee978c9d7d9c6ab90f6e95a33191bd,Ritardi nella risoluzione con danni per l'attività economica
8020,6333_9_1200484dff745e17fcb5c98c67da3df2,Linea bloccata
8021,6333_9_120a3efc9ba89a8883f37867c09fa52a,Nessuno capiva il mio problema che era un errore di configurazione dei vostri sistemi e continuavano a propormi l assistenza informatica
8024,6333_9_126ab2e882af425512f1d13f5e0ac62c,Non risolvevano il riattacco della linea interrotta
8026,6333_9_126d666a01fe58f55af8eeeb7e852c4b,Tempi di attesa alla soluzione troppo lunghi
8029,6333_9_128f15490a318fe67b9ecdce7c92908b,"Perché nessuno rispondeva al telefono , e chi rispondeva era molto molto maleducato."
8030,6333_9_12929b408e070d13d5fbf0fc10d0199f,Il problema non veniva risolto
8033,6333_9_12afcd0fca1af709126cfdeaf3b076db,Problema non risolto.
8036,6333_9_12d0a7b2bc17ba38b9bc0dd5a3cfdbc8,Il mio problema non era mai stato risolto e tuttora non ho risolto
8039,6333_9_130857d0b2a811c0eab7953b594cbf0b,Non mi risolvono il problema...  scaricano il problema a terzi o mi è stato chiesto un ulteriore abbonamento. Con lo stesso pc alla linea di casa privata nn ho questi problemi... Perché?????
8041,6333_9_131fa8c0e2da3be568cb3f7cb2230f77,Mancanza di interesse
8042,6333_9_135355b7ba5e26ec816c1672cff50b83,Assenza di comunicazione
8044,6333_9_13736528e9860c00e99e405ad40eea86,Non funzionava
8045,6333_9_1375e669aa50130add8c0ac8031bb4ed,I tempi li ho considerati troppo lunghi
8048,6333_9_13c8c7cc285c168dd5016be93c6b0e2c,Perche é l’unica linea della struttura
8049,6333_9_13c98916292a99a314f2433851c82d1e,Mancanza di soluzione del problema
8060,6333_9_143c9a23d3997f8679d8ab9e4444e0c7,Tempo di attesa
8061,6333_9_144e3c7d4bdd879d796f909388396ffa,Urgenza
8062,6333_9_14741abfc33e8b7a51f9ff1349b65816,Da gennaio ad oggi non hanno risolto il problema
8063,6333_9_14913a381be9ae601e3c8717da1f24ba,Perché è un negozio e non funzionava il pos
8070,6333_9_15041e476c55d6f0cecb0606c29d61d0,Perché il problema non era stato risolto nei tempi comunicati
8074,6333_9_155593ae11ba9909c11570052600497c,La linea veniva ripristinata e poi spariva di nuovo
8077,6333_9_15a45c83180cacd90ad81d851cceca66,Non si presentava nessuno è Non potevamo operare con internet
8083,6333_9_164f8ff574aa834cd54b6ac207704ba1,Per il continuo disservizio i di fonia o dati o entrambi e la pessima interlocuzione con gli operatori
8085,6333_9_1681b8dcbbc08ef18dfcce963e5f402b,Siamo un'azienda che lavora con linea telefono. Siamo rimasti una giornata intera senza linea
8086,6333_9_16828de4288cdc1bfa3afcea313aabde,Linea inattiva da 45 giorni Tim da la colpa a fastweb che non gli da la linea e fastweb afferma che Tim non le ha fatto la richiesta
8091,6333_9_16b84cb2cf3bdb819652653dbbc525aa,Nessuna risposta
8092,6333_9_16cffe1c2db58f33045f1e97b12f6d04,Problema non risolto dopo 4 giorni.
8093,6333_9_16d0e63c95d9ae2b305f05c8c1114d38,La mia linea da parecchio tempo funziona a singhiozzo. Anche altre utenze nella mia zona funzionano male. L'unica cosa che Tim propone è il tecnico a pagamento.
8096,6333_9_172f1579262679d9deb0a3f63c068a81,Tim continua a chiudere il guasto senza risolverlo
8097,6333_9_174d61e231b3242658bf0ea947d1e354,"Perché mi è stato inviato il nuovo modem e quando lo installo non funziona.Ho chiamato 3 volte e nessuno mi ha risolto niente,sto valutando se cambiare compagnia"
8098,6333_9_174ee0248270de7267935a7d154b52b7,"Perché non risolvevano il problema passavo da un operatore all'altro ,solo uno di nome Pasquale è riuscito in modo tempestivo a sollecitare il tutto. Ho scelto tim perché per me la migliore compagnia ma mi ritrovo a dover pagare un abbonamento con adsl della quale in un mese non ho potuto usufruire spero ora non vi siano problemi"
8100,6333_9_17eaecde8caa1f66228c3d991437d802,Perché il servizio richiesto a tutt'oggi non è stato attivato dal 09 marzo e siamo veramente arrabbiati
8107,6333_9_186a81f8562661a0299aa39e45f2b986,Non funziona internet da ben 20 giorni a nessuno in paese.
8110,6333_9_18bf1ea5f687203734a1c95c515a8cce,Per il lavoro
8111,6333_9_18cc8ce3b9ff167bbcb43f39db0aa406,Non riescono a risolvere l’apertura di Alice non riesco a ricevere le e-mail quando sono in 3G o 4G mentre col Wi-Fi ricevo la posta il problema  È  del server di Alice ma gli operatori sono incompetenti e continuano a dirmi che il problema è la configurazione del telefono ma il telefono È configurato correttamente attendo risposta grazie
8115,6333_9_19184f485e795dd3573f4e7ef1ba3a3f,il problema ancora sussiste.
8120,6333_9_195bc597d761d024b97d8bcbe089e1b0,Il cellulare non si collega al  ripetitore wifi
8121,6333_9_1995194af949d3ac3c4c404e65e4b376,Il VoIP ancora non va e nessuno sa cosa fare
8124,6333_9_19d317f7ded8a3ce96fab928e71bf3f3,E vergognoso sono stato dal 12 febbraio senza linea facevo 2 solleciti al giorno infatti cambierò gestore subito
8125,6333_9_19f030edc2de0c79d16a73a4b1654e1c,Mancata attivazione ADSL
8126,6333_9_19f4e582b400c95803847dc5630e75c9,Il servizio nn è stato ancora ripristinato
8127,6333_9_1a1084af551cba3575d9b431e9daa312,"ho dovuto fare più solleciti e continuare ad aprire altri ticket in quanto oltre a NON risolvere il problema, i vs tecnici ARBITRARIAMENTE e senza nemmeno contattarmi continuano a chiudere i ticket senza risolvere il problema.....la professionalità dei vs tecnici è inesistente !!!!"
8128,6333_9_1a126f3ff9d528423f09b780fd2f6a3b,I problemi alla rete adsl non sono da voi considerati come tali
8131,6333_9_1a1e5f4e858a264b0c78941e5d4fbf9f,Mancata risoluzione
8133,6333_9_1a336c5e6ca0ef40c49808be9289dc01,Non avevo notizie da giorni
8135,6333_9_1a597d6cb21425eb6a21c1707aaf0352,Non risolvevano
8137,6333_9_1a6f2e367ef03dd428dcb37845681ce6,Non avevo risposte sul tipo di guasto e le tempistiche di intervento/risoluzione
8139,6333_9_1a825e06ef072d76d71e50568be244ce,Perché il problema non era stato risolto
8140,6333_9_1a82a4e4ff7a23af2083695f0168c41a,Perché da sabato mattina abbiamo potuto riutilizzare internet solo lunedì sera circa alle ore 20 E il vostro Aladino ancora non funziona. Spero che presto vi finisca il Monopolio e vi mandino tutti a casa. La signora del colsenter mi ha detto che tecnici il sabato e la domenica non lavorano. Ma noi si è i pagamenti col pos? Le fatture le paghiamo anche x il sabato e la domenica.
8142,6333_9_1a982f159c222d41f549c0bb0c3e6b3e,La linea non funziona nessun cambiamento rispetto a prima
8143,6333_9_1aa7060e8e3455be25c6f3b2f8c8fe93,Perché non è venuto nessuno
8145,6333_9_1b011c54851c12ecd2a2be84ac238739,La prima volta mi é stato risposto che non dipendeva da tim.
8146,6333_9_1b3e05805f40aa13aa5cbbdd6c4d5bd8,Nn era chiaro il problema
8151,6333_9_1bc585ebcdefa8f2a54661549b13626f,A quanto concordato il tecnico non è uscito
8153,6333_9_1c022c7277322fbf17a03552075b5a37,Perché il problema persiste
8155,6333_9_1c17fb9d5aed8e8d35de9063694f7428,Perché il guasto non era stato riparato
8161,6333_9_1cbf03d1c7395a497aadb21cc094fb29,Perche' non viene mai risolto il problema
8162,6333_9_1cd67e61985344c1af9ab10ab2b45528,Non riuscivo a nattare Ip pubblico nonostante avessi aperto le porte al router
8165,6333_9_1ce2d2aa5c9bfca0b4792422a67b23e8,Problema mai risolto definitivamente.
8167,6333_9_1cf42324507c558cf76d59988e01e333,Sono ancora senza ADSL!
8169,6333_9_1d2fe9e950e01ebd021b88d11d122bcc,"Avrei dovuto ricevere (secondo il tecnico) un nuovo modem in due giorni, ma dopo 20 giorni non ho ricevuto nulla e ho richiamato. Ad oggi problema invariato e nuova offerta di operatore a pagamento che ho rifiutato. Non richiameró e, se non vedró il problema risolto, cambieró operatore"
8172,6333_9_1d7c6669cb4faea86dd6a9fe7954eda3,Per il solito motivo da qualche anno  Lentezza navigazione quando presente !!! Spesso sono senza ADSL
8173,6333_9_1d97834c98eae0ec139e8f384c3d9151,Perché sono un ristorante con pagamento bancomat
8174,6333_9_1d991a7c7df1cddf6b2f9eb36e1669e4,Non si era presentato nessun tecnico entro le 24 ore
8180,6333_9_1dfe39720289da41c30cae1e3bf3e4ca,"ho chiamato ogni giorno perché, dopo una settimana senza telefono era diventto un problema serio"
8181,6333_9_1e1574d7d4bdc5538ae38869cab16b4b,Perché non è stato ancora risolto
8182,6333_9_1e17994797663f44e1aaf79c5fb1d79f,Essendo attività commerciale
8186,6333_9_1e397f39f6be80b0b92c00bc24f402d1,"Per spiegare che volevo essere rimborsato, in quanto ha solo peggiorato le cose.pur avendogli detto che c’erano tante impostazioni da mantenere, lui ha  resettatto tutto senza reimpostare niente, cosa che prima di accettare mi aveva garantito di rimettere tutto come era."
8190,6333_9_1e8f301cc07583c4b0e62c4e372e5720,Lentezza navigazione su ##########
8192,6333_9_1ead490d20968e5c420e7caece81be09,"Ci hanno segnalato la risoluzione del guasto e non era vero, siamo stati diversi giorni senza telefono siamo un attività commerciale ci avete fatto perdere clienti"
8195,6333_9_1f1019e3d1b750892f02513479e9cd6f,Per segnalare la rottura di un palo che sostiene il cavo.
8196,6333_9_1f2719cd2729ead6345819d1e1cf59a3,Non avevo visto ne sentito nessuno ed ero senza linea
8198,6333_9_1f2af07f1be6e83ce7fa319850ac54d8,Aperture porte
8200,6333_9_1f856fa7781aba84d223f1bb06b565fe,Non veniva nessuno
8204,6333_9_2004f2635bc12bed8392a53213ea6dd9,Per una maggior certezza  riguardo la risoluzione del problema
8205,6333_9_2009879582924068fc7b6cc06d39796a,Perche' a tutto oggi non e' stato risolto..una skifezza
8212,6333_9_209f0eda02a08edd733f48ad798bdc1c,Perché non mi risolvono il problema e L operatore e’ stato molto molto arrogante e poco gentile
8215,6333_9_20c5c97099e1536fa0297e02bc37f2b0,Il problema é sempre lo stesso e si presenta periodicamente
8217,6333_9_20cce28cba6c0692f2b60a5087918d2d,Non funziona
8219,6333_9_212768fafbc0f8b6942811f7dd341729,Mi è arrivato un messaggio si risoluzione  Ma il problema persiste
8221,6333_9_214850ab2e8a42802c4fd79d012f102f,Ho chiesto trasloco linea dopo due mesi ancora non mi è stata attivata nella nuova sede in più mi è stato levato il trasferimento telefonico
8223,6333_9_216eee85ccbe43850ea315af952c9c5e,Perché i tempi di risoluzione sono stati troppo lunghi
8225,6333_9_219dfd895cbfd35484e16d7412ec61a4,Tutti i momenti viene tolta la linea è non si riesce più a lavorare normalmente
8227,6333_9_21db743cb798d62a97bed643693ab8c3,Il guasto non era stato risolto
8232,6333_9_2229b6d97782fb9a60a92253d002eb9c,Per non avvenuta risoluzione del problema
8233,6333_9_223c27ab52161f772f60588d68a9c284,Il contratto applicato NON è quello richiesto
8234,6333_9_2246ada5fcc3776c35b915e6713e8dfe,Il problema non veniva risolto
8236,6333_9_22581d00b1c1e22b17fab5653fcfb45e,Perché non arrivava nessuno
8237,6333_9_226490e98bbc8bdf9734dafd0cfc707f,"Eravamo isolati già dal giorno prima della segnalazione ma pensavamo nell'interazione di poco tempo come succede spesso sulla nostra linea, siccome serve per lavoro la linea, ho dovuto sollecitare"
8238,6333_9_22766997d970c1fc250184ea8225ba8c,Perché la pratica e il relativo problema risultavano risolti quando in realtà è intervenuto un solo tecnico non capendo quale fosse il problema.
